date,portfolio,benchmark
2015-01-02,1.0,1.0
2015-01-05,0.9783059880977208,0.9817218929161403
2015-01-06,0.9669240865024142,0.9729909629773589
2015-01-07,0.9808165071950571,0.9843066757360802
2015-01-08,0.998421618179792,1.001914294043339
2015-01-09,0.9964166571465617,0.9934943154212421
2015-01-12,0.988974815097783,0.9854533087163544
2015-01-13,0.9887990197236055,0.9829122534253234
2015-01-14,0.9843259498487511,0.977198522981246
2015-01-15,0.9715944058689829,0.9681615003401032
2015-01-16,0.9863351061730784,0.9811582936546499
2015-01-20,0.9867929871695988,0.9826790399378098
2015-01-21,0.9984955418795508,0.9873287338451073
2015-01-22,1.0177953551512047,1.0024050140899816
2015-01-23,1.0186314232526945,0.9969002040618017
2015-01-26,1.0329674153009394,0.9994606938101255
2015-01-27,1.0264314100108374,0.9860800699640463
2015-01-28,1.0145172085909744,0.9727723253328152
2015-01-29,1.0207030757011386,0.9820474200757946
2015-01-30,1.0078624018999098,0.9692886988630844
2015-02-02,1.0147774429824794,0.9818530755028667
2015-02-03,1.0332905778711885,0.99603051209795
2015-02-04,1.0303712568937764,0.9918909726945878
2015-02-05,1.0468874241433082,1.0020989213876204
2015-02-06,1.0479007831722382,0.9986735982897678
2015-02-09,1.048009103076961,0.9944320279856186
2015-02-10,1.052922414792454,1.0050481002817997
2015-02-11,1.051050598032971,1.0050189485958605
2015-02-12,1.0634274590852335,1.0147118841706344
2015-02-13,1.0697937026662212,1.0188465649596732
2015-02-17,1.0727267017191642,1.0204742007579437
2015-02-18,1.0787375795287577,1.0201535322126127
2015-02-19,1.0863839156672592,1.0190700612185402
2015-02-20,1.0931202934867181,1.025313380623846
2015-02-23,1.088257398588077,1.0250024293071613
2015-02-24,1.0889205078526791,1.027830142843261
2015-02-25,1.0949463144199882,1.0270430473229035
2015-02-26,1.0947249922031532,1.0255271596540665
2015-02-27,1.0914289239465127,1.0224953843163929
2015-03-02,1.0967311396088841,1.0287581381789912
2015-03-03,1.0941249696639084,1.0240890098144009
2015-03-04,1.0877209869291844,1.0195947915654455
2015-03-05,1.0894034268521933,1.0208143037605675
2015-03-06,1.079740709680989,1.0063453503060928
2015-03-09,1.0831638286222982,1.0103148382081428
2015-03-10,1.0714411704573708,0.993178505490234
2015-03-11,1.0773702311971587,0.9912739286755415
2015-03-12,1.0883979450476122,1.0037654261004758
2015-03-13,1.084914445288266,0.9976678651248662
2015-03-16,1.0879459203081103,1.0111699543290251
2015-03-17,1.0949687734978837,1.0078126518316974
2015-03-18,1.1105854688650818,1.0200660771547951
2015-03-19,1.107015591601712,1.0150957147021666
2015-03-20,1.11707934323377,1.0242444854727428
2015-03-23,1.1080619683465787,1.0224565154018073
2015-03-24,1.1073830895041246,1.0161791856962392
2015-03-25,1.0868367550163784,1.0013847050821105
2015-03-26,1.0883462869805374,0.999003984063745
2015-03-27,1.098357569337707,1.001370129239141
2015-03-30,1.1124842916271747,1.0136235545622387
2015-03-31,1.1079547777181236,1.004707997279176
2015-04-01,1.1064886819023865,1.000723933534156
2015-04-02,1.110167149505642,1.0042561461471189
2015-04-06,1.1187989464080044,1.0108930133126033
2015-04-07,1.120907086681121,1.0088086677679526
2015-04-08,1.1257169682552601,1.0115149159459722
2015-04-09,1.1248177292922819,1.0160237100378973
2015-04-10,1.1291411039157258,1.0213098824215334
2015-04-13,1.1249825632293364,1.0166310368282965
2015-04-14,1.1239474172286146,1.0182878243125062
2015-04-15,1.1352592956914536,1.0235302691672337
2015-04-16,1.1356863978058724,1.0227334564182295
2015-04-17,1.1214609595210654,1.0111650957147023
2015-04-20,1.1332241379980714,1.0205033524438833
2015-04-21,1.1361139377623777,1.0189923233893696
2015-04-22,1.137549517410962,1.0241764648722187
2015-04-23,1.138032089221003,1.0265911961908465
2015-04-24,1.1361327406031787,1.0289038966086874
2015-04-27,1.1282448007919519,1.0246428918472454
2015-04-28,1.1327481100569208,1.0274803226119915
2015-04-29,1.1306277895560592,1.023637158682344
2015-04-30,1.1153181340015268,1.013268875716646
2015-05-01,1.1216702464244048,1.0243367991448842
2015-05-04,1.1253537690744606,1.027349140025265
2015-05-05,1.1061915015116262,1.015188028374308
2015-05-06,1.1079708322737927,1.0106646584394134
2015-05-07,1.1157561216054706,1.0144786706831215
2015-05-08,1.1232797192585715,1.0281313769312994
2015-05-11,1.1280734057538597,1.0228986493052183
2015-05-12,1.1298232666690482,1.0198814498105142
2015-05-13,1.1237589975077042,1.0195704984938299
2015-05-14,1.131142342003186,1.030560684092897
2015-05-15,1.1302710967439569,1.0313526382275777
2015-05-18,1.1395401641919802,1.0344961616946848
2015-05-19,1.1383558890519447,1.0338305315324072
2015-05-20,1.1334943899672232,1.0328685258964145
2015-05-21,1.1373863996059037,1.0352832572150428
2015-05-22,1.1397231888074637,1.0329705567972018
2015-05-26,1.132477771015909,1.0223496258866975
2015-05-27,1.1377981343178247,1.0317170343018176
2015-05-28,1.1319683668868525,1.030410067048878
2015-05-29,1.1258275874687589,1.0238995238557966
