,portfolio,benchmark
2015-07-23,1.0372687812528982,1.0213536099504432
2015-07-24,1.020945570484296,1.0104217277232543
2015-07-27,1.0119340651404345,1.0045865319210971
2015-07-28,1.0258854324217919,1.0170294432027995
2015-07-29,1.033269996377179,1.0244728403459344
2015-07-30,1.0354629639278725,1.0245019920318736
2015-07-31,1.0369992148012366,1.0221747157710632
2015-08-03,1.0310375258568618,1.0193567194636102
2015-08-04,1.0335997024837127,1.0170634535030623
2015-08-05,1.0377535689475452,1.0202312700417855
2015-08-06,1.0315436287406539,1.0123214459236238
2015-08-07,1.028529974007177,1.00941113594403
2015-08-10,1.0433036671043352,1.0223399086580518
2015-08-11,1.03486245110798,1.0125692352541067
2015-08-12,1.036848753891029,1.0135312408900994
2015-08-13,1.0353686933805668,1.0122388494801293
2015-08-14,1.0398915274839453,1.0161986201535331
2015-08-17,1.0486029159337005,1.021494509765816
2015-08-18,1.044750956761014,1.0188125546594122
2015-08-19,1.0362540504945583,1.0104022932659618
2015-08-20,1.0094001140821989,0.9890826936157819
2015-08-21,0.978799495349439,0.9575794383441852
2015-08-24,0.938463568199387,0.9198377222816062
2015-08-25,0.9285649336270119,0.9073996696142269
2015-08-26,0.9642464619081712,0.9428189680303186
2015-08-27,0.9926044331997728,0.9657273345641832
2015-08-28,0.9948481870282778,0.9663152268972898
2015-08-31,0.9861611514479456,0.9582061995918774
2015-09-01,0.9585089842835595,0.9298659022446806
2015-09-02,0.9769769124258167,0.9468759109901863
2015-09-03,0.9756620161738461,0.9479788164415516
2015-09-04,0.9603562986381703,0.9334467010008753
2015-09-08,0.9869537361649818,0.9568603634243522
2015-09-09,0.9744403583802173,0.9435623360217674
2015-09-10,0.9774950829705539,0.9485424157030422
2015-09-11,0.9801627071623186,0.9527985618501611
2015-09-14,0.9743801496552501,0.9489019531629588
2015-09-15,0.9864182668255133,0.9610776406568856
2015-09-16,0.9966276095520602,0.9694441745214276
2015-09-17,0.9967402182051218,0.966961422602275
2015-09-18,0.9800272982592045,0.9513312603245566
2015-09-21,0.9810336697643957,0.9556748615294931
2015-09-22,0.9645289023692907,0.9439024390243915
2015-09-23,0.9588371125956565,0.94196871052376
2015-09-24,0.9537480081144156,0.9388008939850367
2015-09-25,0.9485535492525963,0.9383636186959492
2015-09-28,0.9165057899528049,0.9142794674958715
2015-09-29,0.9112935093997272,0.9154066660188527
2015-09-30,0.9344582224459209,0.9328685258964156
2015-10-01,0.9389505923932899,0.9347099407249067
2015-10-02,0.957066695032219,0.9480905645709857
2015-10-05,0.9757606981377845,0.9654309590904687
2015-10-06,0.9680651311935203,0.9619667670780309
2015-10-07,0.9806964840793375,0.9696968224662341
2015-10-08,0.9914239584761748,0.9782479836750574
2015-10-09,0.9907319064523396,0.9789573413662437
2015-10-12,0.9910275127325412,0.980206005247305
2015-10-13,0.976902905941338,0.9735156933242654
2015-10-14,0.9800394135141562,0.9689243027888461
2015-10-15,0.9873193489559983,0.9833155184141497
2015-10-16,0.9887030610985162,0.987809736663105
2015-10-19,0.9879391412473367,0.988076960450881
2015-10-20,0.988138896079599,0.9866728209114776
2015-10-21,0.9801411043569666,0.980925080167138
2015-10-22,0.9946136164619144,0.9972354484501039
2015-10-23,1.0040269797106673,1.0082353512778175
2015-10-26,1.0025815602846213,1.006306481391509
2015-10-27,0.9978117032873395,1.0037362744145388
2015-10-28,1.0099690110872157,1.0156204450490738
2015-10-29,1.0071756524233995,1.0151637353026932
2015-10-30,1.0117046580612434,1.0102808279078823
2015-11-02,1.025382430974802,1.022276746671851
2015-11-03,1.0275000649245678,1.0250655912933646
2015-11-04,1.0276665997518544,1.0214313477796146
2015-11-05,1.0293349531903728,1.0202749975706942
2015-11-06,1.028023121700474,1.019920318725101
2015-11-09,1.0142426191006333,1.0099018559906727
2015-11-10,1.0154681150612386,1.0114274608881557
2015-11-11,1.0076544858219747,1.008162472062969
2015-11-12,0.9914305582172558,0.9940579146827337
2015-11-13,0.9773266743051292,0.9829171120396475
2015-11-16,0.991872930508706,0.9975658342240805
2015-11-17,0.9897826784542157,0.9962297152852018
2015-11-18,1.0137193519297676,1.0123311631522702
